pBug,epsilon,failed,passed,runtime
0.0156,0.05,1,25,26.08
0.0156,0.05,1,25,26.18
0.0156,0.05,1,25,26.27
0.0156,0.05,1,25,26.40
0.0156,0.05,1,25,26.69
0.0156,0.05,1,25,26.14
0.0156,0.05,1,25,26.38
0.0156,0.05,1,25,26.29
0.0156,0.05,1,25,26.14
0.0156,0.05,1,25,25.88
0.0156,0.05,1,25,26.05
0.0156,0.05,1,25,26.55
0.0156,0.05,1,25,26.59
0.0156,0.05,1,25,25.98
0.0156,0.05,1,25,26.44
0.0156,0.05,1,25,26.32
0.0156,0.05,1,25,26.38
0.0156,0.05,1,25,26.11
0.0156,0.05,1,25,26.03
0.0156,0.05,1,25,26.30
0.0156,0.05,1,25,26.44
0.0156,0.05,1,25,26.00
0.0156,0.05,1,25,26.41
0.0156,0.05,1,25,26.14
0.0156,0.05,1,25,25.99
0.0156,0.05,1,25,26.07
0.0156,0.05,1,25,26.24
0.0156,0.05,1,25,26.32
0.0156,0.05,1,25,25.88
0.0156,0.05,1,25,26.09
0.0156,0.05,1,25,26.44
0.0156,0.05,1,25,26.41
0.0156,0.05,1,25,26.09
0.0156,0.05,1,25,26.24
0.0156,0.05,1,25,26.14
0.0156,0.05,1,25,26.38
0.0156,0.05,1,25,25.74
0.0156,0.05,1,25,26.46
0.0156,0.05,1,25,26.03
0.0156,0.05,1,25,26.52
0.0156,0.05,1,25,26.12
0.0156,0.05,1,25,26.13
0.0156,0.05,1,25,26.49
0.0156,0.05,1,25,26.24
0.0156,0.05,1,25,25.85
0.0156,0.05,1,25,26.39
0.0156,0.05,1,25,26.10
0.0156,0.05,1,25,26.19
0.0156,0.05,1,25,26.02
0.0156,0.05,1,25,26.39
0.0156,0.05,1,25,25.84
0.0156,0.05,1,25,26.42
0.0156,0.05,1,25,26.22
0.0156,0.05,1,25,26.13
0.0156,0.05,1,25,25.88
0.0156,0.05,1,25,26.13
0.0156,0.05,1,25,26.01
0.0156,0.05,1,25,26.37
0.0156,0.05,1,25,26.18
0.0156,0.05,1,25,26.24
0.0156,0.05,1,25,26.27
0.0156,0.05,1,25,26.40
0.0156,0.05,1,25,26.09
0.0156,0.05,1,25,26.00
0.0156,0.05,1,25,25.96
0.0156,0.05,1,25,26.09
0.0156,0.05,1,25,26.35
0.0156,0.05,1,25,26.23
0.0156,0.05,1,25,26.28
0.0156,0.05,1,25,26.26
0.0156,0.05,1,25,25.95
0.0156,0.05,1,25,26.32
0.0156,0.05,1,25,26.17
0.0156,0.05,1,25,26.38
0.0156,0.05,1,25,26.25
0.0156,0.05,1,25,25.93
0.0156,0.05,1,25,26.07
0.0156,0.05,1,25,25.79
0.0156,0.05,1,25,26.11
0.0156,0.05,1,25,26.05
0.0156,0.05,1,25,26.36
0.0156,0.05,1,25,26.03
0.0156,0.05,1,25,26.10
0.0156,0.05,1,25,25.95
0.0156,0.05,1,25,26.28
0.0156,0.05,1,25,26.02
0.0156,0.05,1,25,25.99
0.0156,0.05,1,25,26.08
0.0156,0.05,1,25,26.17
0.0156,0.05,1,25,25.91
0.0156,0.05,1,25,26.10
0.0156,0.05,1,25,26.31
0.0156,0.05,1,25,26.11
0.0156,0.05,1,25,26.50
0.0156,0.05,1,25,25.98
0.0156,0.05,1,25,26.30
0.0156,0.05,1,25,25.97
0.0156,0.05,1,25,25.73
0.0156,0.05,1,25,26.18
0.0156,0.05,1,25,26.20
0.0156,0.05,1,25,25.81
0.0156,0.05,1,25,26.41
0.0156,0.05,1,25,25.84
0.0156,0.05,1,25,26.36
0.0156,0.05,1,25,25.77
0.0156,0.05,1,25,26.13
0.0156,0.05,1,25,25.95
0.0156,0.05,1,25,25.92
0.0156,0.05,1,25,26.18
0.0156,0.05,1,25,26.21
0.0156,0.05,1,25,25.88
0.0156,0.05,1,25,25.95
0.0156,0.05,1,25,26.35
0.0156,0.05,1,25,25.95
0.0156,0.05,1,25,25.80
0.0156,0.05,1,25,26.08
0.0156,0.05,1,25,26.38
0.0156,0.05,1,25,25.87
0.0156,0.05,1,25,25.97
0.0156,0.05,1,25,26.02
0.0156,0.05,1,25,26.31
0.0156,0.05,1,25,26.24
0.0156,0.05,1,25,25.87
0.0156,0.05,1,25,26.16
0.0156,0.05,1,25,25.88
0.0156,0.05,1,25,26.07
0.0156,0.05,1,25,25.71
0.0156,0.05,1,25,26.03
0.0156,0.05,1,25,25.75
0.0156,0.05,1,25,26.14
0.0156,0.05,1,25,26.02
0.0156,0.05,1,25,26.32
0.0156,0.05,1,25,26.12
0.0156,0.05,1,25,26.01
0.0156,0.05,1,25,26.02
0.0156,0.05,1,25,25.95
0.0156,0.05,1,25,25.71
0.0156,0.05,1,25,26.08
0.0156,0.05,1,25,26.10
0.0156,0.05,1,25,26.13
0.0156,0.05,1,25,25.91
0.0156,0.05,1,25,26.12
0.0156,0.05,1,25,26.03
0.0156,0.05,1,25,26.05
0.0156,0.05,1,25,26.15
0.0156,0.05,1,25,26.10
0.0156,0.05,1,25,26.15
0.0156,0.05,1,25,25.82
0.0156,0.05,1,25,26.19
0.0156,0.05,1,25,26.06
0.0156,0.05,1,25,26.02
0.0156,0.05,1,25,26.07
0.0156,0.05,1,25,26.17
0.0156,0.05,1,25,26.21
0.0156,0.05,1,25,25.97
0.0156,0.05,1,25,25.78
0.0156,0.05,1,25,25.99
0.0156,0.05,1,25,26.06
0.0156,0.05,1,25,25.78
0.0156,0.05,1,25,25.86
0.0156,0.05,1,25,26.04
0.0156,0.05,1,25,26.07
0.0156,0.05,1,25,25.79
0.0156,0.05,1,25,25.90
0.0156,0.05,1,25,26.11
0.0156,0.05,1,25,26.16
0.0156,0.05,1,25,25.64
0.0156,0.05,1,25,25.90
0.0156,0.05,1,25,26.31
0.0156,0.05,1,25,26.24
0.0156,0.05,1,25,25.60
0.0156,0.05,1,25,26.01
0.0156,0.05,1,25,26.13
0.0156,0.05,1,25,25.97
0.0156,0.05,1,25,25.75
0.0156,0.05,1,25,25.82
0.0156,0.05,1,25,26.44
0.0156,0.05,1,25,25.97
0.0156,0.05,1,25,26.10
0.0156,0.05,1,25,25.67
0.0156,0.05,1,25,26.38
0.0156,0.05,1,25,25.76
0.0156,0.05,1,25,26.15
0.0156,0.05,1,25,25.71
0.0156,0.05,1,25,26.15
0.0156,0.05,1,25,25.99
0.0156,0.05,1,25,25.82
0.0156,0.05,1,25,26.03
0.0156,0.05,1,25,26.19
0.0156,0.05,1,25,25.77
0.0156,0.05,1,25,25.91
0.0156,0.05,1,25,25.74
0.0156,0.05,1,25,26.35
0.0156,0.05,1,25,26.15
0.0156,0.05,1,25,25.73
0.0156,0.05,1,25,25.71
0.0156,0.05,1,25,26.16
0.0156,0.05,1,25,26.12
0.0156,0.05,1,25,26.13
0.0156,0.05,1,25,25.79
0.0156,0.05,1,25,26.68
0.0156,0.05,1,25,25.65
0.0156,0.05,1,25,26.24
0.0156,0.05,1,25,26.12
0.0156,0.05,1,25,26.23
0.0156,0.05,1,25,25.93
0.0156,0.05,1,25,26.05
0.0156,0.05,1,25,26.07
0.0156,0.05,1,25,26.42
0.0156,0.05,1,25,26.02
0.0156,0.05,1,25,25.83
0.0156,0.05,1,25,25.95
0.0156,0.05,1,25,26.30
0.0156,0.05,1,25,26.00
0.0156,0.05,1,25,25.83
0.0156,0.05,1,25,25.93
0.0156,0.05,1,25,26.45
0.0156,0.05,1,25,25.91
0.0156,0.05,1,25,25.91
0.0156,0.05,1,25,25.82
0.0156,0.05,1,25,26.08
0.0156,0.05,1,25,26.10
0.0156,0.05,1,25,25.86
0.0156,0.05,1,25,26.12
0.0156,0.05,1,25,26.06
0.0156,0.05,1,25,25.90
0.0156,0.05,1,25,26.12
0.0156,0.05,1,25,26.05
0.0156,0.05,1,25,26.44
0.0156,0.05,1,25,25.71
0.0156,0.05,1,25,26.16
0.0156,0.05,1,25,26.07
0.0156,0.05,1,25,26.27
0.0156,0.05,1,25,26.01
0.0156,0.05,1,25,25.62
0.0156,0.05,1,25,26.23
0.0156,0.05,1,25,26.24
0.0156,0.05,1,25,25.98
0.0156,0.05,1,25,25.89
0.0156,0.05,1,25,26.25
0.0156,0.05,1,25,26.17
0.0156,0.05,1,25,25.46
0.0156,0.05,1,25,25.87
0.0156,0.05,1,25,26.37
0.0156,0.05,1,25,26.54
0.0156,0.05,1,25,25.89
0.0156,0.05,1,25,26.09
0.0156,0.05,1,25,25.90
0.0156,0.05,1,25,26.35
0.0156,0.05,1,25,26.34
0.0156,0.05,1,25,26.30
0.0156,0.05,1,25,25.96
0.0156,0.05,1,25,26.55
0.0156,0.05,1,25,26.21
0.0156,0.05,1,25,25.97
0.0156,0.05,1,25,25.99
0.0156,0.05,1,25,26.31
0.0156,0.05,1,25,26.04
0.0156,0.05,1,25,26.59
0.0156,0.05,1,25,26.25
0.0156,0.05,1,25,26.26
0.0156,0.05,1,25,26.27
0.0156,0.05,1,25,26.33
0.0156,0.05,1,25,26.19
0.0156,0.05,1,25,26.17
0.0156,0.05,1,25,26.18
0.0156,0.05,1,25,25.94
0.0156,0.05,1,25,26.27
0.0156,0.05,1,25,25.96
0.0156,0.05,1,25,25.96
0.0156,0.05,1,25,26.05
0.0156,0.05,1,25,25.94
0.0156,0.05,1,25,26.11
0.0156,0.05,1,25,25.82
